SMILES,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_thalf,dog_VDss_L_kg,dog_CL_mL_min_kg,dog_fup,monkey_VDss_L_kg,monkey_CL_mL_min_kg,monkey_fup,rat_VDss_L_kg,rat_CL_mL_min_kg,rat_fup,mouse_VDss_L_kg,mouse_CL_mL_min_kg,mouse_fup
Cc1ccc([C@@H]2C[C@H](CN[C@H](C)c3cccc4ccccc34)Oc3ccccc32)cc1C(=O)O,,,,,-0.15490196,0.3010299956639812,,1.3010299956639813,2.1789769472931693,,0,0.6020599913279624,,-0.22184875,0.414973347970818,
COC(=O)[C@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(=O)C1c1ccc(O)cc1,,,,,,,,,,,,,,,,
CC(=O)[C@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(=O)C1c1ccc(O)cc1,,,,,,,,,,,,1.6532125137753437,,,,
COc1cc(CC(=O)N2CCC(NC(=O)NCc3ccc(OC(F)(F)F)cc3)CC2)cc(OC)c1,,,,,,,,,,,0.14301480025409505,1.5888317255942073,,,,
COc1ccncc1C(=O)N1CCN(c2ccc(Cl)c(Cl)c2)C(C(=O)NCc2cccs2)C1,,,,,,,,,,,0.3222192947339193,1.8887409606828927,,,,
COc1ccc(NC(=O)C2CN(C(=O)c3cnccc3OC)CCN2c2ccc(Cl)c(Cl)c2)cc1,,,,,,,,,,,0.4471580313422192,1.8597385661971468,,,,
C=C[C@]1(C)C[C@@H](OC(=O)CSc2nc3c[n+](-c4ccc(C)cc4)ccc3[nH]2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,,,,,,,,,,,-0.292429824,0.7024305364455253,,,,
CC(=O)N[C@H]1[C@H](Oc2cccc(C(F)(F)F)c2-c2ccc(F)c(F)c2)O[C@H](CO)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,0.3783979009481377,1.4471580313422192,
CC(=O)N[C@H]1[C@H](Oc2cccc(C(F)(F)F)c2-c2ccc(F)cc2)O[C@H](CO)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,0.15228834438305647,1.1335389083702174,
CC(C)(C)C(NC(=O)C(Cc1ccncc1)NC(=O)CNC(=O)CCC(NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)C(=O)O)C(=O)N1CCC[C@H]1CC(N)=O,,,,,,,,-0.552841969,1.3891660843645324,,0.037426497940623665,1.9319661147281726,,,,
CC(C)(C)C(NC(=O)C(Cc1ccncc1)NC(=O)CNC(=O)CCC(NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)C(=O)O)C(=O)Nc1ccc(C(=O)O)cc1,,,,,,,,-0.449771647,1.462397997898956,,,,,0.3944516808262163,2.3010299956639813,
Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CCO)CC5)cc4)cc3)c2)cn1,,,,,,,,,,,,,,0.28555730900777376,0.8750612633917001,
Cn1cc(Nc2ncc(C3CN(C(=O)Nc4ccc(-c5ccccc5)cc4)C3)nc2C(N)=O)cn1,,,,,,,,,,,,,,-0.301029996,1.3222192947339193,
Cn1cc(Nc2ncc(C3CN(c4nc5ccccc5o4)C3)nc2C(N)=O)cn1,,,,,,,,,,,,,,-0.107905397,0.5010592622177514,
CC(C)(C)C(NC(=O)C(F)(F)Cl)C(=O)N1C[C@H]2[C@@H](C1C(=O)N[C@H](C#N)CC1CCNC1=O)[C@H]1C=C[C@@H]2C1,,,-1.107905397,,-0.36251027,0.6364878963533654,,-0.147520006,1.4409090820652177,-1.026872146,0.08990511143939793,1.705007959333336,-0.754487332,,,
CCn1c(=O)c(C)cn(Cc2nnc(-c3ccc(F)c(O)c3F)s2)c1=O,,,,,,,,,,,,,,0.146128035678238,2.041392685158225,-0.647817482
O=C(O)c1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1,,,,,,,,,,,,1.3117538610557542,,,,
COc1cc(OC)cc(-c2cnc3cc(NC(=O)NCc4ccc(OC(F)(F)F)cc4)ccc3c2)c1,,,,,,,,,,,-0.021819483,0.6739419986340878,,,,
CC(C)Oc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,,,,,,,,,,,0.8864907251724818,1.4771212547196624,,,,
COc1cc(F)c(-c2ccc(C(=O)O)cc2)cc1C(=O)N[C@H]1C(C(=O)Nc2cccc(S(=O)(=O)C(F)(F)F)c2)[C@@H]2C=C[C@H]1C2,,,,,,,,,,,-0.036212173,1.863322860120456,-2.508638306,,,
COc1cc(F)c(OC2CCC(C(=O)O)CC2)cc1C(=O)N[C@H]1C(C(=O)Nc2cccc(S(=O)(=O)C(F)(F)F)c2)[C@@H]2CC[C@H]1C2,,,,,,,,,,,0.2304489213782739,1.8808135922807914,-2,,,
COc1cc(F)c(O[C@H]2CC[C@@](C)(C(=O)O)CC2)cc1C(=O)N[C@H]1C(C(=O)Nc2ccc(F)c(S(F)(F)(F)(F)F)c2)[C@@H]2CC[C@H]1C2,,,,,,,,,,,0.36172783601759284,1.5797835966168101,-2.823908741,,,
COc1cc(F)c(O[C@H]2CC[C@@](C)(C(=O)O)CC2)cc1C(=O)N[C@@H]1C(C(=O)Nc2ccc(F)c(S(F)(F)(F)(F)F)c2)[C@H]2CC[C@@H]1C2,,,,,,,,,,,0.17609125905568124,1.146128035678238,-2.886056648,,,
CC(C)(C)OC(=O)N[C@@]12C[C@@H]3C[C@@H](C[C@@](NCC(=O)N4Cc5cc(F)c(F)cc5C4)(C3)C1)C2,,,,,,,,,,,0.8512583487190752,1.954242509439325,,,,
COc1cc(C(=O)O)cc2sc(N3CCN(Cc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)C[C@H]3C)nc12,,,,,-0.084600165,0.5599066250361125,,,,,1.4668676203541096,1.255272505103306,,-0.27572413,1.2174839442139063,
CC(C)CC(NC(=O)C1COCCCCCC(=O)N2C[C@H](F)CC2C(=O)N1)C(=O)[C@@]1(C)CO1,,,-0.346787486,,,,,,,,,,,0.4099331233312945,1.8505237088789943,
COCCCOc1cc2c(cc1Cl)-c1cc(=O)c(C(=O)O)cn1[C@H](C(C)C)CO2,,,-0.853871964,,0,1,,,,,,0.505149978319906,,,1.3010299956639813,-0.698970004
CCc1cc2c(cc1OCCCOC)OC[C@@H](C(C)C)n1cc(C(=O)O)c(=O)cc1-2,,,,,,,,,,,,1.1760912590556813,,,1.3222192947339193,
COCCCOc1cc2c(cc1C1CC1)-c1cc(=O)c(C(=O)O)cn1[C@H](C(C)C)CO2,,,,,,,,,,,,0.7323937598229685,,,1.146128035678238,
COCCCOc1cc2c(nc1OC)-c1cc(=O)c(C(=O)O)cn1[C@H](C(C)C)C2,,,-0.301029996,,-0.096910013,0.7323937598229685,,,,,-0.15490196,0.9822712330395684,,0.17609125905568124,1.4771212547196624,-0.337242168
COCCCOc1cc2c(nc1OC)-c1cc(=O)c(C(=O)O)cn1[C@](C)(C(C)C)C2,,,,,,,,,,,0.43136376415898736,1.3424226808222062,,0.6020599913279624,1.7403626894942439,
COCCCOc1cc2c(nc1OC)-c1cc(=O)c(C(=O)O)cn1[C@](C)(C(C)(C)C)C2,,,,,,,,,,,0.4913616938342727,1.6020599913279623,,0.6020599913279624,1.462397997898956,
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,,,,,1.0492180226701815,-1.951558196,,,,,1.7363965022766426,-1.654234307,,1.2265999052073575,-1.930701988
Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1,,,,,,1.5440680443502757,-0.644605955,,,,,1.1958996524092338,-0.917322319,,1.4994121256722754,-1.057991947
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,,,,,,1.505149978319906,-1.911155437,,1.3424226808222062,-2.142667504,,0.9138138523837167,-2.510041521,,1.8562454007900542,-2.568636236
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,,,,,,,,,,,,1.8788089323592057,-2.001740662,,1.8453461374114086,-1.924453039
C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,,,,,,,,,,,,1.4312028845565166,-1.126970188,,1.6060587494103145,-0.906053276
C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1,,,,,,2.0681858617461617,-0.970088895,,1.6324572921847242,-0.988006885,,2.2041199826559246,-1.306888885,,1.4726101975960446,-1.499351937
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,-0.091514981,1.0199466816788423,-0.166852888,,,0.9344984512435677,-0.208309351,,1.6232492903979006,-0.187534532,,1.724275869600789,-0.301612341,,1.6812412373755872,-0.494850022
CC(C)(/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,,1.1408221801093106,-1.728158393,,,,,,,,,1.8195439355418688,-1.651695137,,,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,,,,,,1.0969100130080565,-1.642636969,,,,,1.0277572046905534,-1.988429556,,1.6844862921887342,-2.053056729
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,,,,,,,,,,,,2.214843848047698,-1.959002308,,,
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,,,,0.9637878273455552,-0.895069261,,,,,1.7226339225338123,-1.089375595,,1.249931756634195,-1.264960295
C=CC(=O)N1CCC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1,,,,,,,,,,,,1.4991369945373827,-1.327902142,,1.4466924663715273,-1.106515654
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,,,,,,,,,,,,1.6917885244026984,-1.64244628,,1.8260748027008264,-2.195179321
Cc1cc(-c2nc(Cl)cn2C[C@@H]2CCCOC2)cn(C)c1=O,,,,,-0.045757491,0.6989700043360189,-0.173925197,,,,0.07918124604762482,1.4471580313422192,-0.148741651,,,
Cc1cc(-c2nc(Cl)cn2CC2CCOCC2)cn(C)c1=O,,,,,-0.096910013,0.47712125471966244,-0.13076828,,,,0.17609125905568124,1.2787536009528289,-0.055517328,,,
CC(=O)N1CCC[C@@H](Cn2cc(Cl)nc2-c2cc(C)c(=O)n(C)c2)C1,,,,,,,,,,,-0.045757491,1.6989700043360187,-0.102372909,,,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,-0.30980392,0.9722028383790645,-1.602059991,,,,,,,,,,,,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0.7708520116421442,1.2886962605902559,-1.4710833,,,,,,,,,,,,,
C=C(C)[C@@H]1CC[C@]2(NCCC3(O)COC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,-0.920818754,,,,,,,,0,0.8129133566428556,,,,
C=C(C)[C@@H]1CC[C@]2(NCC[C@]3(O)CC[C@](C)(O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,-0.958607315,,,,,,,,-0.096910013,0.568201724066995,,,,
C=C(C)[C@@H]1CC[C@]2(NCC[C@]3(O)CC[C@@H](S(C)(=O)=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,-0.958607315,,-0.508638306,-0.420216403,,,,,-0.096910013,0.5440680443502757,,,,
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,-0.853871964,,,,,,,,0.25527250510330607,0.8129133566428556,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(N2CCNCC2)c([N+](=O)[O-])c1,,,,,,,,,,,,,,0.9684829485539351,1.6317480743965693,
O=C1CCC(N2Cc3cc(C4CCN(C[C@H]5CC[C@H](NC(=O)C6NC7(CCCCC7)[C@@]7(C(=O)Nc8cc(Cl)ccc87)[C@H]6c6cccc(Cl)c6F)CC5)CC4)ccc3C2=O)C(=O)N1,,,,,,,,,,,,,,0.43136376415898736,0.8129133566428556,
