SMILES,monkey_fup
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-3.8996291102044136
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3C=CC4=CC(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.0376301907266585
O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,-3.602059817610205
COc1cc(C(=O)N2CCC3(CC2)CC(=O)c2c(cnn2C(C)C)C3)cc(-c2ccc(C(=O)O)cc2)n1,-2.0195421031810707
O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccccn1)CCO2,-1.552841967106729
Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-1.1549019593653225
CNC(=O)c1nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc2c1N[C@@H](C)C1CCOCC1,-0.6777807050592738
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,-0.1555849594640358
O=C(C=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,-1.5228787438326894
C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,-2.376750699261755
CCC1C(=O)N(C)c2cnc(Nc3cc4c(cc3OC)N(C(=O)CN3C[C@@H](C)N[C@@H](C)C3)CC4)nc2N1C1CCCC1,-1.081445468925849
Fc1ccc(C2CCN(Cc3ccn4c(CC5CC5)nnc4c3C(F)(F)F)CC2)c(Cl)c1,-0.9208187535904632
C[C@H]1SC(=N)N[C@](C)(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)[C@H]1F,-0.9208187535904632
Cc1cccc(-c2ccc(/C=C/[C@@H]3[C@@H]4[C@@H](C)OC(=O)[C@]4(O)CC(F)(F)[C@H]3C)nc2)c1C#N,-1.6989700021645464
Nc1cncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)n1,-0.492144128169295
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,-0.0969100129537695
