SMILES,mouse_fup
c1ccc2cc(N=C3NC[C@@]4(CN5CCC4CC5)O3)ncc2c1,-0.6382721637935834
CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-0.6777807050592738
CO[C@@]1(CN2CCN3CCOC[C@@H]3C2)/C(F)=C/C[C@H](C)[C@@H](C)S(=O)(=O)NC(=O)c2ccc3c(c2)N(C[C@@H]2CCO[C@H]21)C[C@@]1(CCCc2cc(Cl)ccc21)CO3,-2.8860566142858968
CC(C)CC(NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(CC1CCNC1=O)C(=O)C(F)Cl,-2.823908711991354
CS[C@@H](Cn1nnc2cc(C#Cc3ccc(N4CC5(C4)C[S+]([O-])C5)cc3)ccc21)N(O)C=O,-1.0457574900781257
O=C1CCc2cc(N3CC[C@](O)(C(=O)NCc4cc(F)cc(F)c4)C3=O)ccc2N1,-1.1804560638001094
Cc1ncn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2CCO)n1,-0.9999999995657056
CC(=O)N=C(N)N=C(NS(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,4.342945178152237e-11
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-1.0085524580208465
COC(=O)C1C(CN2CC(F)(F)CC2C(=O)O)=NC(c2nccs2)=N[C@@]1(C)c1ccc(F)cc1,-1.0915149805851845
O=C(Cc1ncc(C(F)(F)F)cc1C(F)(F)F)N(CC#Cc1cnn(C2CNC2)c1)c1ccc(F)cc1,-1.2924298230505058
CCOc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C#Cc2cnc(C(=O)O)cc2OC)c2ncccc12,-2.221848742378115
Fc1cc(COC2CCN(Cc3ncc4ccccn34)CC2)ccc1Cl,-1.7695510760670523
Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)cc(NCCN)c2c1,-1.0969100124651885
COc1c(F)cc(-n2c(C(=O)N3CC(F)C3)cc3cccnc32)cc1F,-0.876148358706377
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,-1.7447274924839469
O=C(NCc1ccccc1)C(c1ccccc1)N1CCN(C(=O)c2cc(F)ccc2Cl)CC1,-1.4317982747592362
COc1cc(-c2cc(F)cc(Cl)c2)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,-2.3117115071473258
