Molecule_Name,Smiles,Mouse_fup,Source
CHEMBL5179805,COCCNC(=O)c1cc(Nc2ccccc2F)c2cc(C)ncc2n1,0.087,CHEMBL 35
CHEMBL5179626,Cc1cc2c(Nc3ccccc3)cc(C(=O)NC3CC3)nc2cn1,0.049,CHEMBL 35
CHEMBL3793910,COc1ccc(CN2CCO[C@H](COc3ccccc3)C2)cc1F,0.037,CHEMBL 35
CHEMBL5201917,COc1ccc(CN2CCC[C@H](OCc3ccc(F)c(F)c3)C2)cc1F,0.026,CHEMBL 35
CHEMBL4552098,C=C[C@]1(C)C[C@@H](OC(=O)CNc2ccc3c(c2F)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.005,CHEMBL 35
CHEMBL4442838,COc1ccc(/C(=C(\c2ccc(/C=C/C(=O)O)cc2)c2ccc(-c3cncs3)cc2)C2CCC2)c(Cl)c1,0.001,CHEMBL 35
CHEMBL4097569,Cc1cnc(C(=O)N[C@H]2CCOC[C@@H]2O)cc1Cc1ccc(-c2cscn2)cc1,0.00029,CHEMBL 35
CHEMBL3321987,N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.0066,CHEMBL 35
CHEMBL4466131,CC(C)Cc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1,0.003,CHEMBL 35
CHEMBL5199558,Cc1ccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)cn12,0.16,CHEMBL 35
CHEMBL5405856,COC(=O)Nc1nc(C)c(S(=O)(=O)N2CCN(C[C@H](C)Nc3ncnc4c(C(=O)N(C)C)cccc34)CC2)s1,0.0213,CHEMBL 35
CHEMBL5220114,O=C(CS(=O)(=O)O)Nc1ccc(N2CCOCC2)c(Br)c1,0.243,CHEMBL 35
CHEMBL5220687,N.O=C(Nc1nc2ccccc2s1)NS(=O)(=O)O,0.07,CHEMBL 35
CHEMBL5219807,O=C(CS(=O)(=O)O)Nc1nc2ccccc2s1,0.209,CHEMBL 35
CHEMBL5415751,Cc1[nH]c(C(=O)Nc2nc3c(OCc4cccnc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,0.0003,CHEMBL 35
CHEMBL5201228,COc1ccc2ccc(=O)n(CCN[C@H]3CC[C@H]4[C@H](C3)OC(=O)N4c3ccc4c(n3)NC(=O)CO4)c2n1,0.15,CHEMBL 35
CHEMBL5207874,CCOc1ccc2cn(-c3ccc4nn(C)cc4c3)c(=O)c(-c3ccc(Cl)cc3)c2n1,0.0112,CHEMBL 35
CHEMBL5199698,CC(C)C[C@](C)(N)COc1cnc(-c2ccnc(C(F)F)c2)cc1C(F)F,0.065,CHEMBL 35
CHEMBL5197758,O=C(Nc1nc2cccc([C@H]3CC[C@@H](NC(=O)[C@@H]4CC4(F)F)CC3)n2n1)C1CC1,0.148,CHEMBL 35
CHEMBL5270366,Cc1cn(-c2cccc(C(F)(F)F)c2)c2ccc(C(=O)NS(C)(=O)=O)cc12,0.002,CHEMBL 35
CHEMBL5082933,CC(C)C[C@](C)(N)COc1ccc(-c2ccnc(C(F)F)c2)cc1C(F)(F)F,0.002,CHEMBL 35
CHEMBL5394681,O=S(=O)(c1cccc2cccnc12)N1CC(c2nc(-c3ccc(F)cc3)no2)C1,0.014,CHEMBL 35
CHEMBL4463138,O=C(NCc1cc(F)cc(Cl)c1)[C@@]1(O)CCN(c2ccc3[nH]ccc3c2)C1=O,0.011,CHEMBL 35
